query,term,weight
51,airbus,0.5
51,subsidies,0.5
52,south,0.5
52,african,0.1
52,sanctions,0.4
53,buyouts,0.1
53,leveraged,0.9
54,launch,0.3333333333333333
54,satellite,0.3333333333333333
54,contracts,0.3333333333333333
55,trading,0.3
55,insider,0.7
56,prime,0.2
56,lending,0.2
56,rate,0.2
56,moves,0.2
56,predictions,0.2
57,mci,1.0
58,rail,0.6
58,strikes,0.4
59,related,0.2
59,fatalities,0.3
59,weather,0.5
60,pay,0.4000000000000001
60,merit,0.30000000000000004
60,vs,0.20000000000000004
60,seniority,0.10000000000000002
61,role,0.16666666666666666
61,in,0.16666666666666666
61,israeli,0.16666666666666666
61,iran,0.16666666666666666
61,affair,0.16666666666666666
61,contra,0.16666666666666666
62,d,0.1
62,military,0.2
62,coups,0.4
62,etat,0.3
63,machine,0.1
63,translation,0.9
64,hostage,0.9
64,taking,0.1
65,systems,0.3333333333333333
65,retrieval,0.3333333333333333
65,information,0.3333333333333333
66,natural,0.3333333333333333
66,processing,0.3333333333333333
66,language,0.3333333333333333
67,disturbances,0.3999999999999999
67,motivated,0.19999999999999996
67,civil,0.29999999999999993
67,politically,0.09999999999999998
68,hazards,0.16666666666666666
68,fibers,0.16666666666666666
68,diameter,0.16666666666666666
68,fine,0.16666666666666666
68,health,0.16666666666666666
68,from,0.16666666666666666
69,the,0.14285714285714285
69,ii,0.14285714285714285
69,salt,0.14285714285714285
69,treaty,0.14285714285714285
69,to,0.14285714285714285
69,revive,0.14285714285714285
69,attempts,0.14285714285714285
70,surrogate,0.9
70,motherhood,0.1
71,border,0.7
71,incursions,0.3
72,the,0.16666666666666666
72,s,0.16666666666666666
72,in,0.16666666666666666
72,u,0.16666666666666666
72,shifts,0.16666666666666666
72,demographic,0.16666666666666666
73,across,0.2
73,shifts,0.2
73,national,0.2
73,boundaries,0.2
73,demographic,0.2
74,conflicting,0.1
74,policy,0.9
75,automation,1.0
76,s,0.2
76,constitution,0.2
76,original,0.2
76,u,0.2
76,intent,0.2
77,poaching,1.0
78,greenpeace,1.0
79,political,0.1
79,frg,0.3
79,positions,0.2
79,party,0.4
80,candidates,0.1
80,presidential,0.4
80,1988,0.2
80,platforms,0.3
81,crunch,0.09090909090909091
81,the,0.18181818181818182
81,wake,0.09090909090909091
81,scandal,0.09090909090909091
81,in,0.09090909090909091
81,financial,0.09090909090909091
81,of,0.09090909090909091
81,for,0.09090909090909091
81,ptl,0.09090909090909091
81,televangelists,0.09090909090909091
82,genetic,0.6
82,engineering,0.4
83,the,0.2
83,atmosphere,0.2
83,measures,0.2
83,to,0.2
83,protect,0.2
84,renewable,0.16666666666666666
84,plant,0.16666666666666666
84,installation,0.16666666666666666
84,alternative,0.16666666666666666
84,equipment,0.16666666666666666
84,energy,0.16666666666666666
85,official,0.2
85,corruption,0.8
86,bank,0.7
86,failures,0.3
87,institutions,0.125
87,against,0.125
87,financial,0.125
87,of,0.125
87,criminal,0.125
87,failed,0.125
87,actions,0.125
87,officers,0.125
88,oil,0.4
88,price,0.3
88,trends,0.1
88,crude,0.2
89,by,0.16666666666666666
89,downstream,0.16666666666666666
89,member,0.16666666666666666
89,opec,0.16666666666666666
89,investments,0.16666666666666666
89,states,0.16666666666666666
90,oil,0.1111111111111111
90,data,0.1111111111111111
90,natural,0.1111111111111111
90,of,0.1111111111111111
90,gas,0.1111111111111111
90,reserves,0.1111111111111111
90,proven,0.1111111111111111
90,on,0.1111111111111111
90,producers,0.1111111111111111
91,army,0.125
91,s,0.125
91,u,0.125
91,advanced,0.125
91,systems,0.125
91,of,0.125
91,acquisition,0.125
91,weapons,0.125
92,equipment,0.3
92,military,0.4
92,international,0.1
92,sales,0.2
93,the,0.125
93,what,0.125
93,backing,0.125
93,does,0.125
93,have,0.125
93,national,0.125
93,association,0.125
93,rifle,0.125
94,computer,0.5
94,aided,0.1
94,crime,0.4
95,computer,0.3
95,detection,0.2
95,aided,0.1
95,crime,0.4
96,computer,0.4
96,medical,0.3
96,aided,0.1
96,diagnosis,0.2
97,fiber,0.7
97,optics,0.1
97,applications,0.2
98,fiber,0.4
98,manufacturers,0.1
98,equipment,0.2
98,optics,0.3
99,iran,0.7
99,affair,0.1
99,contra,0.2
100,the,0.16666666666666666
100,high,0.16666666666666666
100,transfer,0.16666666666666666
100,of,0.16666666666666666
100,technology,0.16666666666666666
100,controlling,0.16666666666666666
101,the,0.1111111111111111
101,system,0.1111111111111111
101,star,0.1111111111111111
101,defense,0.1111111111111111
101,design,0.1111111111111111
101,of,0.1111111111111111
101,missile,0.1111111111111111
101,wars,0.1111111111111111
101,anti,0.1111111111111111
102,the,0.09090909090909091
