query,term,weight
MB01,bbc,0.2
MB01,world,0.2
MB01,service,0.2
MB01,staff,0.2
MB01,cuts,0.2
MB02,fifa,0.2
MB02,soccer,0.1
MB02,2022,0.7
MB03,aristide,0.3333333333333333
MB03,haiti,0.3333333333333333
MB03,return,0.3333333333333333
MB04,mexico,0.3
MB04,war,0.2
MB04,drug,0.5
MB05,computer,0.3333333333333333
MB05,security,0.3333333333333333
MB05,nist,0.3333333333333333
MB06,nsa,1.0
MB07,murder,0.1
MB07,arrest,0.2
MB07,pakistan,0.4
MB07,diplomat,0.3
MB08,hacking,0.3999999999999999
MB08,phone,0.19999999999999996
MB08,british,0.29999999999999993
MB08,politicians,0.09999999999999998
MB09,recall,0.3
MB09,toyota,0.7
MB10,protesters,0.3
MB10,museum,0.4
MB10,attack,0.1
MB10,egyptian,0.2
MB11,kubica,0.7
MB11,crash,0.3
MB12,assange,0.2
MB12,peace,0.1
MB12,nobel,0.4
MB12,nomination,0.3
MB13,half,0.3
MB13,oprah,0.2
MB13,winfrey,0.4
MB13,sister,0.1
MB14,the,0.4
MB14,release,0.1
MB14,of,0.3
MB14,rite,0.2
MB15,thorpe,0.2
MB15,in,0.2
MB15,2012,0.2
MB15,olympics,0.2
MB15,return,0.2
MB16,known,0.2
MB16,release,0.2
MB16,and,0.2
MB16,of,0.2
MB16,unknown,0.2
MB17,stripes,0.5
MB17,breakup,0.2
MB17,white,0.3
MB18,the,0.14285714285714285
MB18,date,0.14285714285714285
MB18,william,0.14285714285714285
MB18,kate,0.14285714285714285
MB18,and,0.14285714285714285
MB18,save,0.14285714285714285
MB18,fax,0.14285714285714285
MB19,cuomo,0.5
MB19,budget,0.3
MB19,cuts,0.2
MB20,filling,0.2
MB20,lawsuit,0.4
MB20,bell,0.1
MB20,taco,0.3
MB21,residency,0.2
MB21,emanuel,0.3
MB21,rulings,0.1
MB21,court,0.4
MB22,law,0.5
MB22,healthcare,0.2
MB22,unconstitutional,0.3
MB23,service,0.5
MB23,amtrak,0.3
MB23,train,0.2
MB24,super,0.4
MB24,bowl,0.1
MB24,seats,0.5
MB25,screening,0.20000000000000004
MB25,tsa,0.7000000000000001
MB25,airport,0.10000000000000002
MB26,unemployment,0.6
MB26,us,0.4
MB27,reduce,0.4
MB27,consumption,0.1
MB27,energy,0.5
MB28,auto,0.3
MB28,show,0.5
MB28,detroit,0.2
MB29,and,0.2
MB29,warming,0.4
MB29,weather,0.1
MB29,global,0.3
MB30,keith,0.3
MB30,new,0.2
MB30,olbermann,0.4
MB30,job,0.1
MB31,special,0.3333333333333333
MB31,olympics,0.3333333333333333
MB31,athletes,0.3333333333333333
MB32,the,0.16666666666666666
MB32,and,0.16666666666666666
MB32,of,0.16666666666666666
MB32,jobs,0.16666666666666666
MB32,state,0.16666666666666666
MB32,union,0.16666666666666666
MB33,whisperer,0.2
MB33,cesar,0.2
MB33,millan,0.2
MB33,techniques,0.2
MB33,dog,0.2
MB34,rachel,0.20000000000000004
MB34,maddow,0.7000000000000001
MB34,msnbc,0.10000000000000002
MB35,sargent,0.3333333333333333
MB35,tributes,0.3333333333333333
MB35,shriver,0.3333333333333333
MB36,moscow,0.4
MB36,bombing,0.1
MB36,airport,0.5
MB37,giffords,0.7
MB37,recovery,0.3
MB38,protests,0.3
MB38,in,0.5
MB38,jordan,0.2
MB39,egyptian,0.5
MB39,curfew,0.5
MB40,beck,0.2
MB40,attacks,0.3
MB40,piven,0.5
MB41,obama,0.5
MB41,certificate,0.1
MB41,birth,0.4
MB42,envoy,0.3
MB42,holland,0.1
MB42,iran,0.2
MB42,recall,0.4
MB43,kucinich,0.3999999999999999
MB43,olive,0.19999999999999996
MB43,lawsuit,0.29999999999999993
MB43,pit,0.09999999999999998
MB44,spokesman,0.2
MB44,white,0.3
MB44,replaced,0.1
MB44,house,0.4
MB45,campaigns,0.2
MB45,social,0.2
MB45,and,0.2
MB45,political,0.2
MB45,media,0.2
MB46,bottega,0.7
MB46,veneta,0.3
MB47,requirements,0.2
MB47,farming,0.1
MB47,organic,0.7
MB48,evacuation,0.5
MB48,egyptian,0.5
MB49,law,0.3333333333333333
MB49,carbon,0.3333333333333333
MB49,monoxide,0.3333333333333333
MB51,government,0.4
MB51,british,0.1
